season,start_yardline,BLOCKED_FG,"BLOCKED_FG,_DOWNS",BLOCKED_FG_DOWNS,BLOCKED_PUNT,"BLOCKED_PUNT,_DOWNS","BLOCKED_PUNT,_SAFETY",BLOCKED_PUNT_DOWNS,DOWNS,END_GAME,END_HALF,FIELD_GOAL,FUMBLE,"FUMBLE,_SAFETY",FUMBLE_SAFETY,INTERCEPTION,MISSED_FG,PUNT,SAFETY,TOUCHDOWN,UNKNOWN,SCORING
2001,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.3333333333333333,0.0,0.6
2001,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.6,0.0,0.6
2001,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.3076923076923077,0.0,0.8461538461538461
2001,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.35294117647058826,0.09803921568627451,0.0,0.0,0.0196078431372549,0.0196078431372549,0.27450980392156865,0.0,0.19607843137254902,0.0,0.5490196078431373
2001,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.5833333333333334,0.0,0.75
2001,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.125,0.0625,0.0,0.375,0.0,0.625
2001,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.5294117647058824,0.058823529411764705,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.23529411764705882,0.0,0.7647058823529411
2001,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.2857142857142857,0.09523809523809523,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.0,0.3333333333333333,0.0,0.6190476190476191
2001,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.3181818181818182,0.045454545454545456,0.0,0.0,0.0,0.18181818181818182,0.22727272727272727,0.0,0.18181818181818182,0.0,0.5
2001,36,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3888888888888889,0.0,0.6111111111111112
2001,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.5,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.6428571428571428
2001,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0967741935483871,0.12903225806451613,0.0,0.5161290322580645,0.0,0.6774193548387096
2001,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.0,0.3333333333333333,0.0,0.5555555555555556
2001,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.12121212121212122,0.0,0.0,0.030303030303030304,0.09090909090909091,0.15151515151515152,0.0,0.3333333333333333,0.0,0.606060606060606
2001,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.034482758620689655,0.0,0.0,0.034482758620689655,0.06896551724137931,0.3448275862068966,0.0,0.3103448275862069,0.0,0.5172413793103449
2001,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.30434782608695654,0.043478260869565216,0.0,0.0,0.08695652173913043,0.0,0.21739130434782608,0.0,0.30434782608695654,0.0,0.6086956521739131
2001,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.3888888888888889,0.0,0.6111111111111112
2001,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.1282051282051282,0.05128205128205128,0.0,0.0,0.07692307692307693,0.02564102564102564,0.38461538461538464,0.0,0.2564102564102564,0.0,0.3846153846153846
2001,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.1724137931034483,0.034482758620689655,0.0,0.0,0.034482758620689655,0.06896551724137931,0.3103448275862069,0.0,0.2413793103448276,0.0,0.4137931034482759
2001,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.4230769230769231,0.038461538461538464,0.0,0.0,0.038461538461538464,0.07692307692307693,0.2692307692307692,0.0,0.11538461538461539,0.0,0.5384615384615384
2001,47,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.05,0.4,0.0,0.2,0.0,0.4
2001,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.08823529411764706,0.23529411764705882,0.0,0.0,0.11764705882352941,0.058823529411764705,0.20588235294117646,0.0,0.20588235294117646,0.0,0.29411764705882354
2001,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,0.0,0.15384615384615385,0.07692307692307693,0.358974358974359,0.0,0.28205128205128205,0.0,0.3333333333333333
2001,50,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558139534883721,0.023255813953488372,0.0,0.0,0.11627906976744186,0.046511627906976744,0.3953488372093023,0.0,0.13953488372093023,0.0,0.39534883720930236
2001,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.15789473684210525,0.02631578947368421,0.0,0.0,0.05263157894736842,0.02631578947368421,0.34210526315789475,0.0,0.3157894736842105,0.0,0.47368421052631576
2001,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.02631578947368421,0.0,0.0,0.10526315789473684,0.18421052631578946,0.18421052631578946,0.0,0.23684210526315788,0.0,0.5
2001,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.19230769230769232,0.038461538461538464,0.0,0.0,0.1346153846153846,0.038461538461538464,0.36538461538461536,0.0,0.15384615384615385,0.0,0.34615384615384615
2001,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,0.0,0.1568627450980392,0.0392156862745098,0.0,0.0,0.058823529411764705,0.058823529411764705,0.27450980392156865,0.0,0.3333333333333333,0.0,0.49019607843137253
2001,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07936507936507936,0.0,0.0,0.1111111111111111,0.015873015873015872,0.0,0.0,0.047619047619047616,0.031746031746031744,0.5079365079365079,0.0,0.20634920634920634,0.0,0.31746031746031744
2001,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07936507936507936,0.0,0.0,0.12698412698412698,0.047619047619047616,0.0,0.0,0.09523809523809523,0.07936507936507936,0.3492063492063492,0.0,0.2222222222222222,0.0,0.3492063492063492
2001,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.15254237288135594,0.0,0.0,0.0,0.0847457627118644,0.06779661016949153,0.3898305084745763,0.0,0.288135593220339,0.0,0.44067796610169496
2001,58,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.14925373134328357,0.029850746268656716,0.0,0.0,0.14925373134328357,0.0,0.40298507462686567,0.0,0.208955223880597,0.0,0.3582089552238806
2001,59,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.16483516483516483,0.04395604395604396,0.0,0.0,0.10989010989010989,0.054945054945054944,0.37362637362637363,0.0,0.16483516483516483,0.0,0.32967032967032966
2001,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05042016806722689,0.0,0.0,0.10084033613445378,0.06722689075630252,0.0,0.0,0.1092436974789916,0.008403361344537815,0.46218487394957986,0.0,0.20168067226890757,0.0,0.3025210084033614
2001,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.11702127659574468,0.031914893617021274,0.0,0.0,0.1276595744680851,0.031914893617021274,0.4787234042553192,0.0,0.19148936170212766,0.0,0.30851063829787234
2001,62,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.07446808510638298,0.0,0.0,0.2127659574468085,0.0425531914893617,0.0,0.0,0.0425531914893617,0.0425531914893617,0.3723404255319149,0.0,0.20212765957446807,0.0,0.4148936170212766
2001,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,0.1188118811881188,0.04950495049504951,0.0,0.0,0.13861386138613863,0.039603960396039604,0.38613861386138615,0.0,0.2376237623762376,0.0,0.3564356435643564
2001,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03787878787878788,0.0,0.0,0.1893939393939394,0.03787878787878788,0.0,0.0,0.07575757575757576,0.06818181818181818,0.4015151515151515,0.0,0.1893939393939394,0.0,0.3787878787878788
2001,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05343511450381679,0.0,0.0,0.12213740458015267,0.061068702290076333,0.0,0.0,0.0916030534351145,0.061068702290076333,0.4580152671755725,0.0,0.15267175572519084,0.0,0.2748091603053435
2001,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04672897196261682,0.0,0.0,0.14018691588785046,0.037383177570093455,0.0,0.0,0.102803738317757,0.018691588785046728,0.4392523364485981,0.0,0.21495327102803738,0.0,0.35514018691588783
