drive_id,start_yardline,start_time_left,start_posteam_score,start_defteam_score,drive_result,time_elapsed,posteam_score_change,defteam_score_change,next_drive_start_yardline
2016_01_CHI_HOU_20,83,757.0,14.0,20.0,PUNT,207.0,0.0,0.0,66.0
2016_01_CHI_HOU_21,66,541.0,20.0,14.0,FIELD_GOAL,167.0,3.0,0.0,74.0
2016_01_CHI_HOU_22,74,364.0,14.0,23.0,PUNT,68.0,0.0,0.0,76.0
2016_01_CHI_HOU_23,76,285.0,23.0,14.0,PUNT,159.0,0.0,0.0,79.0
2016_01_CHI_HOU_24,79,120.0,14.0,23.0,DOWNS,102.0,0.0,0.0,45.0
2016_01_CHI_HOU_25,45,10.0,23.0,14.0,END_GAME,0.0,0.0,0.0,45.0
2016_01_CIN_NYJ_1,75,3600.0,0.0,0.0,PUNT,138.0,0.0,0.0,78.0
2016_01_CIN_NYJ_2,78,3449.0,0.0,0.0,TOUCHDOWN,289.0,7.0,0.0,79.0
2016_01_CIN_NYJ_3,79,3155.0,0.0,7.0,INTERCEPTION,83.0,0.0,0.0,35.0
2016_01_CIN_NYJ_4,35,3062.0,7.0,0.0,MISSED_FG,137.0,0.0,0.0,80.0
2016_01_CIN_NYJ_5,80,2922.0,0.0,7.0,FIELD_GOAL,130.0,3.0,0.0,77.0
2016_01_CIN_NYJ_6,77,2784.0,7.0,3.0,PUNT,158.0,0.0,0.0,78.0
2016_01_CIN_NYJ_7,78,2614.0,3.0,7.0,TOUCHDOWN,131.0,7.0,0.0,39.0
2016_01_CIN_NYJ_8,39,2473.0,7.0,10.0,TOUCHDOWN,95.0,6.0,0.0,75.0
2016_01_CIN_NYJ_9,75,2378.0,10.0,13.0,PUNT,90.0,0.0,0.0,55.0
2016_01_CIN_NYJ_10,55,2281.0,13.0,10.0,FIELD_GOAL,278.0,3.0,0.0,85.0
2016_01_CIN_NYJ_11,85,1990.0,10.0,16.0,FIELD_GOAL,189.0,3.0,0.0,89.0
2016_01_CIN_NYJ_12,89,1792.0,16.0,13.0,PUNT,172.0,0.0,0.0,64.0
2016_01_CIN_NYJ_13,64,1609.0,13.0,16.0,PUNT,102.0,0.0,0.0,84.0
2016_01_CIN_NYJ_14,84,1493.0,16.0,13.0,PUNT,147.0,0.0,0.0,92.0
2016_01_CIN_NYJ_15,92,1338.0,13.0,16.0,TOUCHDOWN,249.0,7.0,0.0,75.0
2016_01_CIN_NYJ_16,75,1089.0,16.0,20.0,FIELD_GOAL,400.0,3.0,0.0,75.0
2016_01_CIN_NYJ_17,75,686.0,20.0,19.0,MISSED_FG,140.0,0.0,0.0,58.0
2016_01_CIN_NYJ_18,58,542.0,19.0,20.0,FIELD_GOAL,337.0,3.0,0.0,84.0
2016_01_CIN_NYJ_19,84,198.0,20.0,22.0,FIELD_GOAL,140.0,3.0,0.0,75.0
2016_01_CIN_NYJ_20,75,54.0,22.0,23.0,INTERCEPTION,8.0,0.0,0.0,25.0
2016_01_CIN_NYJ_21,25,40.0,23.0,22.0,END_GAME,0.0,0.0,0.0,25.0
2016_01_CLE_PHI_1,75,3600.0,0.0,0.0,TOUCHDOWN,310.0,7.0,0.0,75.0
2016_01_CLE_PHI_2,75,3290.0,0.0,7.0,PUNT,66.0,0.0,0.0,74.0
2016_01_CLE_PHI_3,74,3211.0,7.0,0.0,PUNT,126.0,0.0,0.0,80.0
2016_01_CLE_PHI_4,80,3075.0,0.0,7.0,PUNT,105.0,0.0,0.0,42.0
2016_01_CLE_PHI_5,42,2956.0,7.0,0.0,MISSED_FG,205.0,0.0,0.0,64.0
2016_01_CLE_PHI_6,64,2747.0,0.0,7.0,DOWNS,57.0,0.0,0.0,35.0
2016_01_CLE_PHI_7,35,2684.0,7.0,0.0,FIELD_GOAL,131.0,3.0,0.0,75.0
2016_01_CLE_PHI_8,75,2521.0,0.0,10.0,TOUCHDOWN,170.0,7.0,0.0,77.0
2016_01_CLE_PHI_9,77,2346.0,10.0,7.0,PUNT,83.0,0.0,0.0,80.0
2016_01_CLE_PHI_10,80,2255.0,7.0,10.0,INTERCEPTION,223.0,0.0,0.0,79.0
2016_01_CLE_PHI_11,79,2023.0,10.0,7.0,FIELD_GOAL,195.0,3.0,0.0,75.0
2016_01_CLE_PHI_12,75,1827.0,7.0,13.0,END_HALF,18.0,0.0,0.0,75.0
2016_01_CLE_PHI_13,75,1800.0,7.0,13.0,FIELD_GOAL,59.0,3.0,0.0,75.0
2016_01_CLE_PHI_14,75,1737.0,13.0,10.0,PUNT,175.0,0.0,0.0,85.0
2016_01_CLE_PHI_15,85,1554.0,10.0,13.0,"FUMBLE,_SAFETY",0.0,0.0,2.0,73.0
2016_01_CLE_PHI_16,73,1542.0,15.0,10.0,TOUCHDOWN,265.0,7.0,0.0,75.0
2016_01_CLE_PHI_17,75,1277.0,10.0,22.0,PUNT,163.0,0.0,0.0,79.0
2016_01_CLE_PHI_18,79,1104.0,22.0,10.0,PUNT,204.0,0.0,0.0,99.0
2016_01_CLE_PHI_19,99,891.0,10.0,22.0,PUNT,55.0,0.0,0.0,47.0
