game_id,play_id,return_touchdown,starting_field_position
2025_01_NYG_WAS,3286.0,0.0,61.0
2025_01_NYG_WAS,4023.0,0.0,65.0
2025_01_PIT_NYJ,40.0,0.0,65.0
2025_01_PIT_NYJ,284.0,0.0,71.0
2025_01_PIT_NYJ,566.0,0.0,55.0
2025_01_PIT_NYJ,787.0,0.0,72.0
2025_01_PIT_NYJ,983.0,0.0,68.0
2025_01_PIT_NYJ,1200.0,0.0,72.0
2025_01_PIT_NYJ,1548.0,0.0,65.0
2025_01_PIT_NYJ,1858.0,0.0,67.0
2025_01_PIT_NYJ,1994.0,0.0,70.0
2025_01_PIT_NYJ,2677.0,0.0,68.0
2025_01_PIT_NYJ,2977.0,0.0,22.0
2025_01_PIT_NYJ,3079.0,0.0,67.0
2025_01_PIT_NYJ,3451.0,0.0,63.0
2025_01_PIT_NYJ,3881.0,0.0,69.0
2025_01_SF_SEA,39.0,0.0,65.0
2025_01_SF_SEA,657.0,0.0,69.0
2025_01_SF_SEA,1023.0,0.0,65.0
2025_01_SF_SEA,2086.0,0.0,65.0
2025_01_SF_SEA,2155.0,0.0,75.0
2025_01_SF_SEA,3341.0,0.0,63.0
2025_01_SF_SEA,3831.0,0.0,68.0
2025_01_SF_SEA,4084.0,0.0,65.0
2025_01_TB_ATL,40.0,0.0,65.0
2025_01_TB_ATL,151.0,0.0,60.0
2025_01_TB_ATL,1181.0,0.0,71.0
2025_01_TB_ATL,1870.0,0.0,78.0
2025_01_TB_ATL,2059.0,0.0,65.0
2025_01_TB_ATL,2630.0,0.0,71.0
2025_01_TB_ATL,2974.0,0.0,73.0
2025_01_TB_ATL,3937.0,0.0,63.0
2025_01_TB_ATL,4140.0,0.0,86.0
2025_01_TEN_DEN,39.0,0.0,65.0
2025_01_TEN_DEN,282.0,0.0,65.0
2025_01_TEN_DEN,600.0,0.0,70.0
2025_01_TEN_DEN,1822.0,0.0,73.0
2025_01_TEN_DEN,2244.0,0.0,24.0
2025_01_TEN_DEN,2292.0,0.0,65.0
2025_01_TEN_DEN,2351.0,0.0,77.0
2025_01_TEN_DEN,2518.0,0.0,63.0
2025_01_TEN_DEN,2948.0,0.0,70.0
2025_01_TEN_DEN,3813.0,0.0,70.0
2025_02_ATL_MIN,40.0,0.0,65.0
2025_02_ATL_MIN,247.0,0.0,73.0
2025_02_ATL_MIN,551.0,0.0,86.0
2025_02_ATL_MIN,1362.0,0.0,77.0
2025_02_ATL_MIN,1875.0,0.0,80.0
2025_02_ATL_MIN,1998.0,0.0,78.0
2025_02_ATL_MIN,2525.0,0.0,69.0
2025_02_ATL_MIN,3082.0,0.0,81.0
2025_02_ATL_MIN,3612.0,0.0,70.0
2025_02_BUF_NYJ,41.0,0.0,64.0
2025_02_BUF_NYJ,521.0,0.0,81.0
2025_02_BUF_NYJ,736.0,0.0,75.0
2025_02_BUF_NYJ,1215.0,0.0,68.0
2025_02_BUF_NYJ,1482.0,0.0,63.0
2025_02_BUF_NYJ,1679.0,0.0,75.0
2025_02_BUF_NYJ,2212.0,0.0,79.0
2025_02_BUF_NYJ,2495.0,0.0,81.0
2025_02_BUF_NYJ,3010.0,0.0,67.0
2025_02_BUF_NYJ,3946.0,0.0,44.0
2025_02_CAR_ARI,39.0,0.0,73.0
2025_02_CAR_ARI,167.0,0.0,77.0
2025_02_CAR_ARI,685.0,0.0,64.0
2025_02_CAR_ARI,955.0,0.0,78.0
2025_02_CAR_ARI,1771.0,0.0,89.0
2025_02_CAR_ARI,2150.0,0.0,65.0
2025_02_CAR_ARI,2209.0,0.0,71.0
2025_02_CAR_ARI,2509.0,0.0,76.0
2025_02_CAR_ARI,2927.0,0.0,72.0
2025_02_CAR_ARI,3657.0,0.0,90.0
2025_02_CAR_ARI,4169.0,0.0,51.0
2025_02_CHI_DET,40.0,0.0,60.0
2025_02_CHI_DET,199.0,0.0,74.0
2025_02_CHI_DET,466.0,0.0,70.0
2025_02_CHI_DET,907.0,0.0,64.0
2025_02_CHI_DET,1894.0,0.0,57.0
2025_02_CHI_DET,2136.0,0.0,76.0
2025_02_CHI_DET,2506.0,0.0,76.0
2025_02_CHI_DET,2822.0,0.0,69.0
2025_02_CHI_DET,3071.0,0.0,69.0
2025_02_CHI_DET,3496.0,0.0,60.0
2025_02_CHI_DET,3785.0,0.0,43.0
2025_02_CHI_DET,3990.0,0.0,83.0
2025_02_CLE_BAL,40.0,0.0,78.0
2025_02_CLE_BAL,699.0,0.0,60.0
2025_02_CLE_BAL,1232.0,0.0,72.0
2025_02_CLE_BAL,1999.0,0.0,74.0
2025_02_CLE_BAL,2142.0,0.0,65.0
2025_02_CLE_BAL,2392.0,0.0,60.0
2025_02_CLE_BAL,2638.0,0.0,71.0
2025_02_CLE_BAL,3063.0,0.0,66.0
2025_02_CLE_BAL,3459.0,0.0,71.0
2025_02_CLE_BAL,3863.0,0.0,75.0
2025_02_CLE_BAL,4177.0,0.0,65.0
2025_02_CLE_BAL,4395.0,0.0,71.0
2025_02_DEN_IND,39.0,0.0,72.0
2025_02_DEN_IND,296.0,0.0,64.0
2025_02_DEN_IND,483.0,0.0,70.0
2025_02_DEN_IND,709.0,0.0,65.0
2025_02_DEN_IND,1102.0,0.0,67.0
2025_02_DEN_IND,1322.0,0.0,72.0
2025_02_DEN_IND,1970.0,0.0,81.0
2025_02_DEN_IND,2218.0,0.0,68.0
2025_02_DEN_IND,2393.0,0.0,60.0
2025_02_DEN_IND,2624.0,0.0,60.0
2025_02_DEN_IND,2953.0,0.0,65.0
2025_02_DEN_IND,3747.0,0.0,65.0
2025_02_JAX_CIN,40.0,0.0,69.0
2025_02_JAX_CIN,306.0,0.0,74.0
2025_02_JAX_CIN,1002.0,0.0,75.0
2025_02_JAX_CIN,1259.0,0.0,66.0
2025_02_JAX_CIN,1800.0,0.0,65.0
2025_02_JAX_CIN,2085.0,0.0,60.0
2025_02_JAX_CIN,2288.0,0.0,76.0
2025_02_JAX_CIN,2530.0,0.0,81.0
2025_02_JAX_CIN,2920.0,0.0,47.0
2025_02_JAX_CIN,3047.0,0.0,75.0
2025_02_JAX_CIN,3439.0,0.0,63.0
2025_02_JAX_CIN,4472.0,0.0,65.0
2025_02_LAC_LV,42.0,0.0,76.0
2025_02_LAC_LV,193.0,0.0,78.0
2025_02_LAC_LV,484.0,0.0,65.0
2025_02_LAC_LV,1030.0,0.0,65.0
2025_02_LAC_LV,1417.0,0.0,68.0
2025_02_LAC_LV,1895.0,0.0,72.0
2025_02_LAC_LV,2152.0,0.0,74.0
2025_02_LAC_LV,2471.0,0.0,80.0
2025_02_LAC_LV,3054.0,0.0,80.0
2025_02_LA_TEN,41.0,0.0,72.0
2025_02_LA_TEN,442.0,0.0,65.0
2025_02_LA_TEN,1048.0,0.0,75.0
2025_02_LA_TEN,1350.0,0.0,85.0
2025_02_LA_TEN,2045.0,0.0,65.0
2025_02_LA_TEN,2251.0,0.0,65.0
2025_02_LA_TEN,2536.0,0.0,74.0
2025_02_LA_TEN,2841.0,0.0,69.0
2025_02_LA_TEN,3050.0,0.0,86.0
2025_02_LA_TEN,3523.0,0.0,76.0
2025_02_LA_TEN,3875.0,0.0,65.0
2025_02_LA_TEN,4224.0,0.0,41.0
2025_02_NE_MIA,40.0,0.0,68.0
2025_02_NE_MIA,310.0,0.0,75.0
2025_02_NE_MIA,779.0,0.0,83.0
2025_02_NE_MIA,1060.0,0.0,75.0
2025_02_NE_MIA,1580.0,0.0,77.0
2025_02_NE_MIA,1818.0,0.0,96.0
2025_02_NE_MIA,1889.0,0.0,71.0
2025_02_NE_MIA,2167.0,0.0,83.0
2025_02_NE_MIA,2743.0,0.0,83.0
2025_02_NE_MIA,3418.0,1.0,15.0
2025_02_NE_MIA,3464.0,0.0,87.0
2025_02_NE_MIA,3892.0,0.0,60.0
2025_02_NYG_DAL,41.0,0.0,80.0
2025_02_NYG_DAL,574.0,0.0,68.0
2025_02_NYG_DAL,972.0,0.0,69.0
2025_02_NYG_DAL,1387.0,0.0,70.0
2025_02_NYG_DAL,1552.0,0.0,64.0
2025_02_NYG_DAL,1932.0,0.0,77.0
2025_02_NYG_DAL,2405.0,0.0,79.0
2025_02_NYG_DAL,2884.0,0.0,67.0
2025_02_NYG_DAL,3056.0,0.0,82.0
2025_02_NYG_DAL,3455.0,0.0,60.0
2025_02_NYG_DAL,3635.0,0.0,85.0
2025_02_NYG_DAL,3980.0,0.0,63.0
2025_02_NYG_DAL,4197.0,0.0,71.0
2025_02_NYG_DAL,4543.0,0.0,63.0
2025_02_NYG_DAL,4659.0,0.0,67.0
2025_02_NYG_DAL,4821.0,0.0,81.0
2025_02_PHI_KC,39.0,0.0,69.0
2025_02_PHI_KC,920.0,0.0,69.0
2025_02_PHI_KC,1146.0,0.0,76.0
2025_02_PHI_KC,1648.0,0.0,77.0
2025_02_PHI_KC,2020.0,0.0,73.0
2025_02_PHI_KC,2277.0,0.0,71.0
2025_02_PHI_KC,3268.0,0.0,74.0
2025_02_PHI_KC,3833.0,0.0,41.0
2025_02_SEA_PIT,40.0,0.0,65.0
2025_02_SEA_PIT,272.0,0.0,76.0
2025_02_SEA_PIT,569.0,0.0,71.0
2025_02_SEA_PIT,765.0,0.0,70.0
2025_02_SEA_PIT,1768.0,0.0,73.0
2025_02_SEA_PIT,1975.0,0.0,83.0
2025_02_SEA_PIT,2404.0,0.0,70.0
2025_02_SEA_PIT,3004.0,0.0,15.0
2025_02_SEA_PIT,3057.0,0.0,72.0
2025_02_SEA_PIT,3296.0,0.0,73.0
2025_02_SEA_PIT,3508.0,0.0,65.0
2025_02_SF_NO,41.0,0.0,65.0
2025_02_SF_NO,914.0,0.0,68.0
2025_02_SF_NO,1342.0,0.0,71.0
2025_02_SF_NO,1970.0,0.0,77.0
2025_02_SF_NO,2271.0,0.0,65.0
2025_02_SF_NO,2338.0,0.0,60.0
2025_02_SF_NO,2878.0,0.0,77.0
2025_02_SF_NO,3092.0,0.0,65.0
2025_02_SF_NO,3531.0,0.0,71.0
2025_02_SF_NO,3973.0,0.0,65.0
2025_02_TB_HOU,44.0,0.0,64.0
2025_02_TB_HOU,255.0,0.0,65.0
2025_02_TB_HOU,541.0,0.0,66.0
2025_02_TB_HOU,774.0,0.0,77.0
2025_02_TB_HOU,1311.0,0.0,78.0
2025_02_TB_HOU,2038.0,0.0,72.0
2025_02_TB_HOU,3534.0,0.0,65.0
2025_02_TB_HOU,3728.0,0.0,80.0
2025_02_WAS_GB,40.0,0.0,72.0
2025_02_WAS_GB,720.0,0.0,65.0
2025_02_WAS_GB,1478.0,0.0,70.0
2025_02_WAS_GB,1729.0,0.0,73.0
2025_02_WAS_GB,2187.0,0.0,44.0
2025_02_WAS_GB,2702.0,0.0,73.0
2025_02_WAS_GB,3301.0,0.0,65.0
2025_02_WAS_GB,3611.0,0.0,65.0
2025_02_WAS_GB,3832.0,0.0,65.0
2025_02_WAS_GB,4192.0,0.0,52.0
2025_03_ARI_SF,40.0,0.0,61.0
2025_03_ARI_SF,1209.0,0.0,68.0
2025_03_ARI_SF,1459.0,0.0,72.0
2025_03_ARI_SF,1939.0,0.0,63.0
2025_03_ARI_SF,2002.0,0.0,65.0
2025_03_ARI_SF,2606.0,0.0,64.0
2025_03_ARI_SF,3236.0,0.0,65.0
2025_03_ARI_SF,3411.0,0.0,72.0
2025_03_ARI_SF,3727.0,0.0,65.0
2025_03_ATL_CAR,40.0,0.0,73.0
2025_03_ATL_CAR,592.0,0.0,74.0
2025_03_ATL_CAR,1576.0,0.0,80.0
2025_03_ATL_CAR,2017.0,0.0,71.0
2025_03_ATL_CAR,2263.0,0.0,90.0
2025_03_ATL_CAR,2731.0,0.0,80.0
2025_03_ATL_CAR,3319.0,0.0,90.0
2025_03_ATL_CAR,3733.0,0.0,78.0
2025_03_CIN_MIN,40.0,0.0,64.0
2025_03_CIN_MIN,260.0,0.0,71.0
2025_03_CIN_MIN,684.0,0.0,75.0
2025_03_CIN_MIN,1399.0,0.0,75.0
2025_03_CIN_MIN,1673.0,0.0,77.0
2025_03_CIN_MIN,1968.0,0.0,73.0
2025_03_CIN_MIN,2209.0,0.0,70.0
2025_03_CIN_MIN,2458.0,0.0,76.0
2025_03_CIN_MIN,2950.0,0.0,70.0
2025_03_CIN_MIN,3329.0,0.0,65.0
2025_03_CIN_MIN,3655.0,0.0,65.0
2025_03_DAL_CHI,40.0,0.0,81.0
2025_03_DAL_CHI,383.0,0.0,80.0
2025_03_DAL_CHI,711.0,0.0,65.0
2025_03_DAL_CHI,781.0,0.0,65.0
2025_03_DAL_CHI,1089.0,0.0,65.0
2025_03_DAL_CHI,1505.0,0.0,65.0
2025_03_DAL_CHI,1742.0,0.0,76.0
2025_03_DAL_CHI,2073.0,0.0,78.0
2025_03_DAL_CHI,2146.0,0.0,72.0
2025_03_DAL_CHI,2864.0,0.0,66.0
2025_03_DEN_LAC,39.0,0.0,69.0
2025_03_DEN_LAC,291.0,0.0,67.0
2025_03_DEN_LAC,1831.0,0.0,72.0
2025_03_DEN_LAC,2057.0,0.0,75.0
2025_03_DEN_LAC,2265.0,0.0,66.0
2025_03_DEN_LAC,2382.0,0.0,30.0
2025_03_DEN_LAC,2536.0,0.0,75.0
2025_03_DEN_LAC,3013.0,0.0,66.0
2025_03_DEN_LAC,3557.0,0.0,78.0
2025_03_DEN_LAC,4222.0,0.0,78.0
2025_03_DET_BAL,41.0,0.0,67.0
2025_03_DET_BAL,345.0,0.0,80.0
2025_03_DET_BAL,568.0,0.0,68.0
2025_03_DET_BAL,1341.0,0.0,51.0
2025_03_DET_BAL,1929.0,0.0,67.0
2025_03_DET_BAL,2103.0,0.0,73.0
2025_03_DET_BAL,2445.0,0.0,60.0
2025_03_DET_BAL,2666.0,0.0,60.0
2025_03_DET_BAL,2996.0,0.0,72.0
2025_03_DET_BAL,3303.0,0.0,65.0
2025_03_DET_BAL,3610.0,0.0,69.0
2025_03_DET_BAL,3931.0,0.0,65.0
2025_03_DET_BAL,4158.0,0.0,45.0
2025_03_GB_CLE,40.0,0.0,74.0
2025_03_GB_CLE,926.0,0.0,65.0
2025_03_GB_CLE,1963.0,0.0,74.0
2025_03_GB_CLE,2619.0,0.0,74.0
2025_03_GB_CLE,3775.0,0.0,82.0
2025_03_GB_CLE,3989.0,0.0,60.0
2025_03_HOU_JAX,41.0,0.0,65.0
2025_03_HOU_JAX,745.0,0.0,80.0
2025_03_HOU_JAX,1603.0,0.0,80.0
2025_03_HOU_JAX,2344.0,0.0,80.0
2025_03_HOU_JAX,2797.0,0.0,70.0
2025_03_HOU_JAX,3584.0,0.0,72.0
2025_03_HOU_JAX,4126.0,0.0,74.0
2025_03_IND_TEN,40.0,0.0,65.0
2025_03_IND_TEN,145.0,0.0,60.0
2025_03_IND_TEN,304.0,0.0,65.0
2025_03_IND_TEN,580.0,0.0,66.0
2025_03_IND_TEN,1039.0,0.0,78.0
2025_03_IND_TEN,1405.0,0.0,60.0
2025_03_IND_TEN,2243.0,0.0,67.0
2025_03_IND_TEN,2474.0,0.0,73.0
2025_03_IND_TEN,2933.0,0.0,80.0
2025_03_IND_TEN,3172.0,0.0,77.0
2025_03_IND_TEN,3793.0,0.0,58.0
2025_03_IND_TEN,4016.0,0.0,66.0
2025_03_KC_NYG,44.0,0.0,69.0
2025_03_KC_NYG,632.0,0.0,64.0
2025_03_KC_NYG,1218.0,0.0,74.0
2025_03_KC_NYG,1824.0,0.0,78.0
2025_03_KC_NYG,2434.0,0.0,74.0
2025_03_KC_NYG,2735.0,0.0,68.0
2025_03_KC_NYG,3495.0,0.0,77.0
2025_03_KC_NYG,3815.0,0.0,63.0
