game_id,play_id,season,return_touchdown,starting_field_position,time_elapsed
2001_01_OAK_KC,1877.0,2001,0.0,80.0,8.0
2001_01_OAK_KC,2380.0,2001,0.0,60.0,11.0
2001_01_OAK_KC,2565.0,2001,0.0,80.0,6.0
2001_01_OAK_KC,3018.0,2001,0.0,65.0,11.0
2001_01_OAK_KC,3489.0,2001,0.0,80.0,6.0
2001_01_OAK_KC,3796.0,2001,0.0,49.0,7.0
2001_01_OAK_KC,3918.0,2001,0.0,67.0,5.0
2001_01_PIT_JAX,58.0,2001,0.0,80.0,6.0
2001_01_PIT_JAX,835.0,2001,0.0,74.0,10.0
2001_01_PIT_JAX,1003.0,2001,0.0,70.0,16.0
2001_01_PIT_JAX,1315.0,2001,0.0,84.0,10.0
2001_01_PIT_JAX,1571.0,2001,0.0,79.0,11.0
2001_01_PIT_JAX,1946.0,2001,0.0,80.0,20.0
2001_01_SEA_CLE,35.0,2001,0.0,77.0,9.0
2001_01_SEA_CLE,1092.0,2001,0.0,75.0,9.0
2001_01_SEA_CLE,1533.0,2001,0.0,87.0,10.0
2001_01_SEA_CLE,1907.0,2001,0.0,77.0,9.0
2001_01_SEA_CLE,2277.0,2001,0.0,80.0,10.0
2001_01_SEA_CLE,3302.0,2001,0.0,53.0,15.0
2001_01_STL_PHI,35.0,2001,0.0,86.0,9.0
2001_01_STL_PHI,144.0,2001,0.0,66.0,10.0
2001_01_STL_PHI,867.0,2001,0.0,84.0,11.0
2001_01_STL_PHI,1849.0,2001,0.0,76.0,6.0
2001_01_STL_PHI,1908.0,2001,0.0,74.0,10.0
2001_01_STL_PHI,2334.0,2001,0.0,55.0,11.0
2001_01_STL_PHI,3824.0,2001,0.0,80.0,3.0
2001_01_STL_PHI,3075.0,2001,0.0,71.0,9.0
2001_01_STL_PHI,3476.0,2001,0.0,95.0,16.0
2001_01_TB_DAL,35.0,2001,0.0,80.0,7.0
2001_01_TB_DAL,355.0,2001,0.0,17.0,16.0
2001_01_TB_DAL,538.0,2001,0.0,58.0,5.0
2001_01_TB_DAL,1769.0,2001,0.0,69.0,11.0
2001_01_TB_DAL,1949.0,2001,0.0,79.0,8.0
2001_01_TB_DAL,2681.0,2001,0.0,66.0,12.0
2001_01_WAS_SD,35.0,2001,0.0,77.0,10.0
2001_01_WAS_SD,233.0,2001,0.0,72.0,12.0
2001_01_WAS_SD,606.0,2001,0.0,67.0,14.0
2001_01_WAS_SD,1134.0,2001,0.0,71.0,9.0
2001_01_WAS_SD,1594.0,2001,0.0,70.0,8.0
2001_01_WAS_SD,1681.0,2001,0.0,80.0,6.0
2001_01_WAS_SD,2504.0,2001,0.0,60.0,0.0
2001_01_WAS_SD,2780.0,2001,0.0,91.0,11.0
2001_01_WAS_SD,3160.0,2001,0.0,59.0,11.0
2001_02_BAL_CIN,75.0,2001,0.0,75.0,9.0
2001_02_BAL_CIN,803.0,2001,0.0,75.0,10.0
2001_02_BAL_CIN,2106.0,2001,0.0,18.0,13.0
2001_02_BAL_CIN,2372.0,2001,0.0,72.0,10.0
2001_02_BAL_CIN,2615.0,2001,0.0,72.0,10.0
2001_02_BAL_CIN,3316.0,2001,0.0,54.0,11.0
2001_02_BAL_CIN,3761.0,2001,0.0,71.0,11.0
2001_02_BUF_IND,44.0,2001,0.0,74.0,0.0
2001_02_BUF_IND,181.0,2001,0.0,72.0,8.0
2001_02_BUF_IND,638.0,2001,0.0,80.0,9.0
2001_02_BUF_IND,886.0,2001,0.0,84.0,12.0
2001_02_BUF_IND,1160.0,2001,0.0,61.0,10.0
2001_02_BUF_IND,1241.0,2001,0.0,69.0,7.0
2001_02_BUF_IND,1387.0,2001,0.0,61.0,8.0
2001_02_BUF_IND,1709.0,2001,0.0,80.0,9.0
2001_02_BUF_IND,2017.0,2001,0.0,73.0,5.0
2001_02_BUF_IND,2263.0,2001,0.0,72.0,10.0
2001_02_BUF_IND,2448.0,2001,0.0,60.0,4.0
2001_02_BUF_IND,2785.0,2001,0.0,86.0,11.0
2001_02_BUF_IND,4143.0,2001,0.0,38.0,1.0
2001_02_CAR_ATL,35.0,2001,0.0,76.0,9.0
2001_02_CAR_ATL,351.0,2001,0.0,76.0,11.0
2001_02_CAR_ATL,582.0,2001,0.0,70.0,11.0
2001_02_CAR_ATL,1005.0,2001,0.0,74.0,11.0
2001_02_CAR_ATL,1358.0,2001,0.0,77.0,4.0
2001_02_CAR_ATL,1618.0,2001,0.0,80.0,6.0
2001_02_CAR_ATL,1839.0,2001,0.0,75.0,10.0
2001_02_CAR_ATL,2354.0,2001,0.0,74.0,11.0
2001_02_CAR_ATL,2602.0,2001,0.0,81.0,11.0
2001_02_CAR_ATL,2936.0,2001,0.0,80.0,5.0
2001_02_DEN_ARI,35.0,2001,0.0,79.0,15.0
2001_02_DEN_ARI,313.0,2001,0.0,80.0,13.0
2001_02_DEN_ARI,819.0,2001,0.0,80.0,8.0
2001_02_DEN_ARI,1036.0,2001,0.0,69.0,11.0
2001_02_DEN_ARI,1524.0,2001,0.0,23.0,14.0
2001_02_DEN_ARI,1636.0,2001,0.0,80.0,8.0
2001_02_DEN_ARI,2060.0,2001,0.0,72.0,5.0
2001_02_DEN_ARI,2119.0,2001,0.0,73.0,11.0
2001_02_DEN_ARI,2352.0,2001,0.0,64.0,13.0
2001_02_DEN_ARI,2714.0,2001,0.0,80.0,7.0
2001_02_DEN_ARI,3104.0,2001,0.0,61.0,16.0
2001_02_DEN_ARI,3626.0,2001,0.0,40.0,6.0
2001_02_DET_CLE,35.0,2001,0.0,77.0,9.0
2001_02_DET_CLE,489.0,2001,0.0,78.0,9.0
2001_02_DET_CLE,1160.0,2001,0.0,76.0,11.0
2001_02_DET_CLE,2094.0,2001,0.0,63.0,10.0
2001_02_DET_CLE,2327.0,2001,0.0,64.0,10.0
2001_02_DET_CLE,2575.0,2001,0.0,72.0,11.0
2001_02_DET_CLE,2796.0,2001,0.0,79.0,10.0
2001_02_DET_CLE,3227.0,2001,0.0,77.0,9.0
2001_02_MIN_CHI,55.0,2001,0.0,75.0,10.0
2001_02_MIN_CHI,540.0,2001,0.0,81.0,9.0
2001_02_MIN_CHI,2113.0,2001,0.0,61.0,26.0
2001_02_MIN_CHI,2349.0,2001,0.0,72.0,12.0
2001_02_MIN_CHI,2567.0,2001,0.0,65.0,8.0
2001_02_MIN_CHI,3318.0,2001,0.0,74.0,9.0
2001_02_MIN_CHI,3637.0,2001,0.0,77.0,12.0
2001_02_NYG_KC,35.0,2001,0.0,83.0,16.0
2001_02_NYG_KC,254.0,2001,0.0,80.0,7.0
2001_02_NYG_KC,842.0,2001,0.0,77.0,11.0
2001_02_NYG_KC,1749.0,2001,0.0,71.0,9.0
2001_02_NYG_KC,2199.0,2001,0.0,80.0,6.0
2001_02_NYJ_NE,35.0,2001,0.0,60.0,12.0
2001_02_NYJ_NE,1805.0,2001,0.0,83.0,10.0
2001_02_NYJ_NE,2386.0,2001,0.0,75.0,11.0
2001_02_OAK_MIA,35.0,2001,0.0,80.0,7.0
2001_02_OAK_MIA,511.0,2001,0.0,84.0,11.0
2001_02_OAK_MIA,1036.0,2001,0.0,82.0,11.0
2001_02_OAK_MIA,1607.0,2001,0.0,62.0,12.0
2001_02_OAK_MIA,1666.0,2001,0.0,80.0,10.0
2001_02_OAK_MIA,1832.0,2001,0.0,76.0,12.0
2001_02_OAK_MIA,2606.0,2001,0.0,99.0,15.0
2001_02_PHI_SEA,35.0,2001,0.0,80.0,7.0
2001_02_PHI_SEA,511.0,2001,0.0,88.0,0.0
2001_02_PHI_SEA,1014.0,2001,0.0,80.0,6.0
2001_02_PHI_SEA,1364.0,2001,0.0,81.0,11.0
2001_02_PHI_SEA,1592.0,2001,0.0,72.0,10.0
2001_02_PHI_SEA,1967.0,2001,0.0,81.0,9.0
2001_02_PHI_SEA,3224.0,2001,0.0,71.0,12.0
2001_02_PHI_SEA,3520.0,2001,0.0,73.0,12.0
