Ruleset,Games Historical,% Receiving Team Won Historical,% Kicking Team Won Historical,% Tie Historical,Receiving Team Advantage Historical,Season Modeled,Games Modeled,% Receiving Team Won Modeled,% Kicking Team Won Modeled,% Tie Modeled,Receiving Team Advantage Modeled
Pre 2012,191,0.5549738219895288,0.43455497382198954,0.010471204188481676,0.12041884816753928,2011,10000,0.5328,0.4172,0.05,0.1156
2012-2015,73,0.5068493150684932,0.4383561643835616,0.0547945205479452,0.06849315068493156,2013,10000,0.4834,0.4576,0.059,0.0257999999999999
2016,14,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,2016,10000,0.4838,0.4549,0.0613,0.0288999999999999
2017-2023,108,0.5370370370370371,0.3888888888888889,0.07407407407407407,0.1481481481481482,2021,10000,0.4798,0.3925,0.1277,0.0872999999999999
2024,16,0.75,0.1875,0.0625,0.5625,2024,10000,0.5344,0.3672,0.0984,0.1671999999999999
2025,17,0.5294117647058824,0.4117647058823529,0.058823529411764705,0.11764705882352944,2025,10000,0.4702,0.3938,0.136,0.0764
