ruleset,games,Receiving Team,Kicking Team,TIE,Receiving Team Advantage
pre2012,191,106,83,2,0.12041884816753928
2012_2015,73,37,32,4,0.06849315068493156
2016,14,6,6,2,0.0
2017_2023,108,58,42,8,0.1481481481481482
2025,17,9,7,1,0.11764705882352944
2024,16,12,3,1,0.5625
